app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
"Discord - Talk, Play, Hang Out",com.discord,Social,ca340a96-0c51-43af-aa24-ffc6b0579cd7,Vivek Dubey,5,,good,0,312.9 - Stable,2026-07-26T16:20:59,,
"Discord - Talk, Play, Hang Out",com.discord,Social,5f0e8ea9-d23b-4f1a-88cf-c4f2741f7ebb,shiromi daluwatta,5,,good,0,,2026-07-26T16:18:52,,
"Discord - Talk, Play, Hang Out",com.discord,Social,d6331c59-b792-4877-8bab-5c33f30ad60c,kumar satyam,5,,Best app ever 💯,0,338.13 - Stable,2026-07-26T15:47:58,,
"Discord - Talk, Play, Hang Out",com.discord,Social,8b352f4d-9381-4a33-8e23-227681bd512d,Ella Forever,5,,"pretty nice imo,",0,301.8 - Stable,2026-07-26T15:39:21,,
"Discord - Talk, Play, Hang Out",com.discord,Social,d4d92f77-10f1-44b0-a9b4-69ce8f78b89a,Meem F.,5,,❤️‍🔥,0,338.13 - Stable,2026-07-26T15:38:09,,
"Discord - Talk, Play, Hang Out",com.discord,Social,75c60eb1-f1f9-46d4-8df9-b21f32c28e3c,samala sai krishna,1,,there is no proper forgot password option to reset password and login again,0,338.13 - Stable,2026-07-26T15:31:32,"To reset your password, tap ""Forgot your password?"" on the login page. You'll get an email with instructions to reset. If you need more help, visit dis.gd/contact for support.",2026-07-26T15:59:28
"Discord - Talk, Play, Hang Out",com.discord,Social,1ffa24a8-180d-4234-a582-6f896de90550,Mia Long,3,,"had this app since 2021 I believe. its fine up until recently theres been an update that just seems so money hungry it actually enrages me a little. though it's not a big problem, it caused a bunch of littles ones when the file without nitro is 12-15 seconds max. it used to he around 56 seconds, which is just under a minute. still caused a few problems but not one I couldn't get around. the audacity to make people pay £10 to send files, have emojis and a damn banner. it's ridiculous money 😭",0,338.13 - Stable,2026-07-26T15:05:28,,
"Discord - Talk, Play, Hang Out",com.discord,Social,7ca8139e-fdfa-4415-bd95-71e139135f6a,Jeff Foreman,1,,"This sucks. I either have to start a group no one will know about to also join or have an invite to a group, and there's no listings, not even when you search. I would have to know specific usernames off the top of my head to connect. Horrible!",0,284.14 - Stable,2026-07-26T15:03:54,"When adding friends, ensure you have their correct username and ID, like CatDog#1234. The info is case sensitive. For more details, see: https://support.discord.com/hc/en-us/articles/218344397",2025-06-22T00:03:26
"Discord - Talk, Play, Hang Out",com.discord,Social,0caf63c7-e229-44e7-88bc-7f61deeb83ff,Pinaak Khurana,5,,best,0,,2026-07-26T15:00:01,,
"Discord - Talk, Play, Hang Out",com.discord,Social,f1fd3e2e-130c-445e-80f1-93a1d8e47869,Hudda Ahmad,5,,Gooooood,0,338.13 - Stable,2026-07-26T14:57:16,,
