app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,243b988c-f20a-4a11-8cf2-b3c04c9e2849,SM SRABON,5,,ok,1,1.128.2,2026-07-26T16:26:22,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,bdad466b-a1ee-4d62-adfd-603e67738e3f,Humaidatil Husna,5,,this game so best,1,1.128.2,2026-07-26T16:25:19,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,36e89cd1-d2ec-4eb0-9b2c-924c3c74d96b,David Haunted,5,,"among the best shooting games, I have ever seen",0,1.129.1,2026-07-26T16:24:04,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,da7673b2-ce99-4088-95c1-3ce2734aad0f,Samuel Uchenna,5,,it's a gud and nice game can leave it,0,1.126.1,2026-07-26T16:22:29,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,7df2b62b-e2b6-4202-8d9e-291559717e2c,Shah Fahad,5,,this is amazing and good game,0,,2026-07-26T16:21:59,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,5eb284d2-f37d-4135-bf35-a4c022e97e4a,Abdul Mueez Butt,5,,This Game Is To Much fun,0,,2026-07-26T16:21:13,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,f0cc1995-f012-4857-8595-7a91c921c78c,Ram Shyam,5,,best game,0,,2026-07-26T16:21:03,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,0378c67d-0c73-4f8d-b002-c7b2ebc11f5b,Muhammad Asheem,4,,it's very good,0,1.129.1,2026-07-26T16:20:14,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,1dd81351-c7e0-460e-b62d-1dfb00cdc803,Rauf Awan,5,,it's a very very good and interesting game but if this game gave us the diamonds free then it will be very interesting game,0,1.129.1,2026-07-26T16:20:10,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,2e587dce-53f6-44e9-85e2-89d8f52b5240,Besiru Abubakar Sediki Emmanuel,5,,it's an amazing game.that do not waste your data,0,1.128.2,2026-07-26T16:19:50,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,75a0f390-7bd1-47f5-87cf-881fb75cf9d1,Sahil Gaming,5,,nice,0,,2026-07-26T16:19:01,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,3077f168-0e8f-4b89-a2bd-a34c1167bfe8,Rizwan Khichi,5,,It is very nice game for kids because when there summer vacancies than u can play with Ur friends and it allows to talk also....,0,1.128.2,2026-07-26T16:16:42,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,12994bf7-1b63-4350-ab1e-c3b4acb4d2b5,Savarivasan Savarivasan,5,,super,0,1.128.2,2026-07-26T16:16:26,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,798e8a1a-c30c-424d-bc18-6ccd38c470e8,Mst Amena,1,,nice game,0,1.126.1,2026-07-26T16:13:24,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,faa417ef-bebd-44a7-b07d-8b0740111fa4,Ace Cooper,1,,"I noticed a bug in the game. It seems the server doesn't register movement in real time For instance I was outside cover shooting an enemy, I go inside then the enemy shoots while I'm inside but it touches me even when I enter building, 2seconds I'm moving well then I get knocked down inside the building Then the replay clearly shows that I wasn't there when I was hit even when my ping is 30ms I noticed this with the new patch update please fix",85,1.129.1,2026-07-26T16:12:02,We are sorry to see you are having problems! The performance of the game is a priority for us and something we will continue to optimize.,2026-07-27T13:37:32
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,4f9660ea-017e-4058-b499-ab267dfcb99a,Salman _king,5,,GOOD💟💟,0,1.126.1,2026-07-26T16:11:27,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,f234801a-f1e8-41c4-ae45-d55377cc00c8,Jan Rayver Puguon,4,,Arrival emotes are cool but it would be great if used as an emote too,0,,2026-07-26T16:06:45,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,6607128c-7f69-49d7-ba74-c050500fe313,Luthando Sapula,5,,love it 🤩,0,,2026-07-26T16:05:39,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,a4a999b9-c933-411f-aac8-cb588ddd9381,Stephen Danso,3,,one of the best games so far.,0,1.123.1,2026-07-26T16:05:12,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,f90eb0fd-10f7-4790-8045-2a54cb0b4fe9,Suma Akther,5,,only ff lover😘😘😘,0,,2026-07-26T16:04:06,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,328953c0-b272-4f7e-8df2-89cd912b1f26,Tajudeen Abdul malik,1,,i love this game,0,1.126.1,2026-07-26T16:03:31,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,0006cfc7-19f4-4afc-b43b-901986318cb5,Rahmat Ullah,5,,bect game 🎮,0,1.129.1,2026-07-26T16:01:57,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,a7db2b44-cc4c-4875-887c-d82c432d7aa2,Alif Khan,5,,ভালো গেম,0,,2026-07-26T16:01:32,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,1dd1c077-2dbe-47a3-b512-97cfd1812cd8,Ana Ayo,5,,the best among all,0,1.128.2,2026-07-26T16:00:54,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,782afc5a-efbf-463f-af88-81959e7b9030,TGR Robin,5,,I love you free fire 😍😍😍🤩🤩🤩,0,1.129.1,2026-07-26T16:00:35,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,861f861c-8faa-4ba8-a028-6530acd6a420,ARAF NAMDEV,5,,how long playing in free fire me playing 5 years and you,0,,2026-07-26T15:55:32,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,ad190e4f-f0b8-46cd-bcc6-36cfc2529dba,Sta Lewanay,5,,I love freefire,0,,2026-07-26T15:54:14,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,2ffb6afb-2195-4baa-8651-b8ecd08d9cd4,Rotimi Halleluyah,5,,Love,0,1.129.1,2026-07-26T15:53:03,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,87d51334-8b7c-46aa-8d4e-f435db6a1dc8,Goodness Udop,5,,i love free fire,0,1.126.1,2026-07-26T15:52:11,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,9b0d4107-8dc8-4661-b42a-ec35323c4a0f,malik tahir,5,,free fire father of PUBG mobile,0,1.0.5,2026-07-26T15:49:13,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,30b41862-4294-4113-be25-3347d7f7bd92,Igwebikefamily,4,,it is a good and fun game,0,1.126.1,2026-07-26T15:48:59,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,7446b99c-5ed4-4128-8330-6d1671b64b83,Maqsood Shah,5,,please come back old freefire,0,1.109.1,2026-07-26T15:48:58,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,da00de8d-b07f-4d0c-8983-efa893761852,A Google user,5,,i.miss.you. old.free.fire,0,1.129.1,2026-07-26T15:48:43,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,09e257e7-254a-4367-87d9-d21f21385c37,Cheng Xiao,5,,my favorite game 😄,0,1.129.1,2026-07-26T15:48:26,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,770630c6-0255-4dd8-9809-d7cd7ee3f584,Rajveer Singh,5,,😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮💆💆💆😍😍 God best application,0,,2026-07-26T15:47:14,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,3095eabd-e051-4a76-8ff9-a0cf15f61a70,Qaseh Erny,5,,"at the end , this game already be a part of my soul , thanks ☺️",0,1.120.1,2026-07-26T15:46:49,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,2c0d37f3-82fe-47a8-964b-4d5a02f81b67,Akiya,5,,good,0,1.129.1,2026-07-26T15:45:00,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,a2e6ee52-baf2-4a7b-91a5-f7c8104a8deb,Choudhry Fakhr Zaman,5,,game bhot slow hen,0,1.129.1,2026-07-26T15:45:00,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,1bd5215e-59ce-4a2b-84c8-4be1a13379c9,Toyin Zion,5,,But I don't like the srink,0,1.128.2,2026-07-26T15:44:07,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,d0fa3a3b-9c9f-44f0-bd51-3e519dd2f51c,Nixe,5,,GOOD GAME FOR TIME PASS BUT DONT GET EDICTED,0,1.129.1,2026-07-26T15:43:11,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,81a507e3-03df-4148-ba64-9893bfe6bb38,Mohammad Sufiyan,5,,that is the best game ever,1,1.129.1,2026-07-26T15:40:23,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,e63a319a-8dea-45ff-b893-9688ea54fa94,Sultan Zaib,4,,Garena wala net slo hai ya game download karo na please MB kam karo,0,,2026-07-26T15:39:48,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,495acc10-8d76-4331-b675-8ef91862c669,Abdullah Khan,5,,good,0,1.129.1,2026-07-26T15:38:47,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,6b0ffd00-6864-4bb7-a482-20e50d5dee44,Ambreen Khalid,5,,wow,1,1.129.1,2026-07-26T15:37:26,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,84621dda-967a-4728-a5f1-b7e6317de82f,Zubia Mohsin,5,,This is best off PUBG mobile,0,,2026-07-26T15:36:34,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,26d01cfe-a9ed-437a-9a65-85e4dad0f4e2,haya khan,5,,❤️❤️,0,,2026-07-26T15:35:51,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,8007612b-e1e7-4f2f-a9c1-967d8f3dc2f1,Jermain,5,,good,0,1.129.1,2026-07-26T15:35:18,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,120a9951-85c9-462f-8c88-5e7a50f6373b,Moeketsi Ketsi,5,,good game,0,1.129.1,2026-07-26T15:34:29,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,d17224b6-76b7-41e3-9560-433fc6601fc6,tharusha prabath,3,,supiri game akak,0,1.129.1,2026-07-26T15:33:22,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,7db7f590-9bad-40e7-9a3c-1b83b3fb57a9,MOHSIN Ali,5,,I AM PLYING 6 YEARS OLD,0,1.129.1,2026-07-26T15:32:56,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,ed931649-8cec-41e7-9cb6-c41b6d4733e1,Irfan Mustafa,5,,bhot achi game ha,0,1.128.2,2026-07-26T15:32:08,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,fe169e3a-efdc-4356-abe0-ebe1f1afcaa6,Arshad Aslam,5,,good game in the world 🌎,0,1.128.2,2026-07-26T15:31:34,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,f44b3ae1-0d67-4992-8401-7d47a5f6a7c3,Hussain K,5,,nice game,0,1.128.2,2026-07-26T15:30:56,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,c73f989a-976f-4877-b666-e42c4dfab9d9,physics chemistry,1,,Cartoon game...lots of hacker exist they dont even care bout it...trush game js waste of time.....I rather play ludo than this poor graphics trash shi',0,,2026-07-26T15:30:14,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,949e9520-e03c-4201-aeb8-ef19a61d64e9,Masab Zarqavi,5,,I play this game and it is one of the best game I play this game from 2019,0,,2026-07-26T15:28:32,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,79392ec8-b376-4f33-b5d1-75a217a06351,Eti Alomgir,5,,good,0,,2026-07-26T15:28:19,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,9d6daa6e-303e-408e-9752-d22829ae1606,Enerst,3,,lost my acc now I have restart the whole game 😑😑,1,1.128.2,2026-07-26T15:26:57,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,007692e1-507c-48da-a1b8-445cd5a2e3c2,Ozioma Onuoha,2,,i removed one star because it's bad that u guys remove -12 for AFK and it was because of network it suddenly went off and it wasn't my fault but y'all decided to remove it and it's really frustrating that I will have to build up my honor score for something that i didn't do intentionally and had not way to stop 🫩🫩🫩,0,1.126.1,2026-07-26T15:25:03,"Hi, we are sorry to hear the game is not working on your end. May we inquire about what you've experienced? Please contact our customer support at https://ffsupport.garena.com to resolve it as soon as possible. Thank you!",2026-07-27T13:39:12
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,f2e61b3b-b149-4498-80ee-a7dcc5f8d46a,Ten Hoang,1,,no fuuny,0,,2026-07-26T15:24:51,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,580af0c5-ef1e-40d4-a415-182847851698,Hasan Khan,5,,I love free fire,0,1.129.1,2026-07-26T15:22:43,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,8a2419d9-b0d9-40e5-854f-f79d83ae8f6d,BHuti' MAdonsela.,5,,quite fun😑🫡,0,1.128.2,2026-07-26T15:20:20,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,773ed9b5-b2dd-4434-bc7e-50b8ae570bbe,Billal Hossan Rony,5,,nice,0,1.129.1,2026-07-26T15:19:44,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,dd0dd62d-75e3-4183-836b-ef3cf2842bd7,ami maisha,5,,is very fun and good to play together with friends 😊,0,1.128.2,2026-07-26T15:18:48,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,7a816c2c-4031-4190-866e-5da75178094a,Uzair Fareed,5,,l am playing game for 6year,0,1.129.1,2026-07-26T15:18:39,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,0ad04563-663d-4c3f-b100-f38ca74db998,Amir Khan,5,,we need some free animation please 🥺🥺🥺,0,1.126.1,2026-07-26T15:18:24,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,0a3e3a9c-1b7a-4e4e-8018-9a83b39d7ab4,Sheema Gul,5,,great game,0,1.128.2,2026-07-26T15:17:47,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,519ba594-9f9b-4338-b66c-9cd3e54a74bf,Md Your,1,,good,0,,2026-07-26T15:14:28,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,ff0c9e4b-78f0-48a5-b713-b575b57f1619,Sajid Saeed,5,,good,0,1.126.1,2026-07-26T15:14:21,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,e2289c23-ed57-435a-af7e-a52273448285,Ebus Fx,2,,FF isn't the best but it's niceam giving it 2 🌟 star,0,1.118.1,2026-07-26T15:06:02,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,c7456f25-fea1-4b92-929b-9aca019ebeee,Rushiru Tevin,5,,😎,0,1.126.1,2026-07-26T15:04:43,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,863103d2-6429-42af-b5fa-00192d908cf1,Shayan Shani,5,,free fire best best game,0,1.129.1,2026-07-26T15:02:37,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,e76059da-a143-4250-85a8-bdb5a53760d5,Haroon Khan,5,,nice gmme,0,1.129.1,2026-07-26T15:00:54,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,a95f17b0-6184-46bd-9bca-4aa0af8e780a,maryB Salon,5,,it's a good gaming site,0,1.123.1,2026-07-26T15:00:52,,
Free Fire: 9th Anniversary,com.dts.freefireth,Gaming,6e143625-feaa-4286-9789-f20004381ba6,A Google user,5,,nice,0,,2026-07-26T14:59:56,,
