app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
Duolingo: Language Lessons,com.duolingo,Education,1619f1d7-85bd-42d0-876e-7b62c92554fd,Samkelo Zwane,5,,Great learning app!! 🔥🔥,0,6.85.7,2026-07-26T01:19:04,,
Duolingo: Language Lessons,com.duolingo,Education,001edb43-f656-428e-b09b-93c7c99094b6,Andrew Terentyev,2,,"reinstalled after 5 years and i get the drowning sensation just looking at this utter disaster of UX from hell. language learning is like a small aside, it's a kids sticker book with a slot machine. First app I've found where Revanced does nothing at all to usability because this interface's design-intent is to be nails-on-chalkboard for your eyes and soul.",0,6.89.4,2026-07-25T14:39:14,,
Duolingo: Language Lessons,com.duolingo,Education,c5154838-9bff-4d06-bca7-9bf1efd28a84,AMDG,1,,"It used to be good 15 years ago. Now it is failing in basic grammar. They show clearly a woman but the 'right' answer is they. They show a big man and the 'correct' answer is she. Sorry, but zero stars would be more accurate for this tool. NOT recommending this app for children or youth at ALL!",2,,2026-07-25T13:19:44,,
Duolingo: Language Lessons,com.duolingo,Education,539ad2de-4910-4c36-9c53-7687d4e4a24f,István Maczkó,1,,"addition (jul 22, 2026). I use a paid version. Today it became completely useless. I deeply regretted buying Lot of translation errors (laughable errors with word translations, Poorly handled word orders) Unstable behaviour; not crashing, just not moving forward. I have a yearly family subscription. but I will not pay anymore for this. I think some of the sentences are generated text (by ai?) and this method sometimes results sentences, phrases that are not correct or never used in that language",1,6.89.4,2026-07-25T03:12:29,,
Duolingo: Language Lessons,com.duolingo,Education,2ba21d48-810b-40b9-a7ea-2df7459c7c3f,Seher Kashif,5,,Very great app,1,6.89.4,2026-07-24T02:20:29,,
Duolingo: Language Lessons,com.duolingo,Education,9e9d93c3-a4b7-4d9b-9a91-9bd68e498919,Pinkie Gioia,4,,I think we need more time to revirse,2,6.89.4,2026-07-23T11:42:02,,
Duolingo: Language Lessons,com.duolingo,Education,c76fb3f6-56c8-4e3f-80f3-d9378ddcd801,Jagroop singh Dhillon,5,,bhoot vadiyan hai ji download kro isnu o balle balle,0,6.87.6,2026-07-22T20:31:45,,
Duolingo: Language Lessons,com.duolingo,Education,1e2996ea-5429-4010-9b9f-d1134d254601,Altaf Hussain,2,,gugj,0,,2026-07-22T12:18:55,,
Duolingo: Language Lessons,com.duolingo,Education,465b2eeb-42a6-48c5-8050-a692b938f4d0,Mubita Mulonda,5,,it's really a good app and I'm enjoying so far,1,6.88.2,2026-07-22T02:19:58,,
Duolingo: Language Lessons,com.duolingo,Education,4f5d2170-3f3e-45ca-b81e-e3789b5c8e1f,Chance Zolman,1,,Duolingo heavily uses A.I. and as an A.I. hater I don't like this.,2,,2026-07-22T02:04:36,,
Duolingo: Language Lessons,com.duolingo,Education,c7da1455-e8c7-4d73-842f-986da93ff1ad,Vals Skya,1,,"I'm strongly disagree and UNSATISFIED with the newly battery energy mechanic. it just felt so unfair and just shows that this app has becoming more and more P2P (pay to play) lately. I personally prefer the heart mechanic where you won't be able to continue on learning once you've done 5 mistakes or more. be less greedy, please.",2,6.88.2,2026-07-21T19:01:51,,
Duolingo: Language Lessons,com.duolingo,Education,5a9a83e5-bd09-480c-a5f2-7ce0cd795ff4,Saron,5,,it is amazing and trust me doulingo knows how to motivate you it gets happy when you learna lesson and gets sad when you skip a lesson it just eats up your heart,0,6.88.2,2026-07-21T12:38:20,,
Duolingo: Language Lessons,com.duolingo,Education,912e09cb-f14b-4fe7-be49-1685f185cab7,Hizir Üreci,4,,Its very good but the ads are too much and the Super Duolingo feels like forced ad,2,6.88.2,2026-07-21T02:48:25,,
