app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
EA SPORTS FC Soccer Mobile 26,com.ea.gp.fifamobile,Gaming,58a2068d-7702-4040-8c41-66642d3377e4,Nasrin Akter,5,,গেমটা খেলতে অনেক ভালো লাগে,0,27.0.03,2026-07-26T16:22:01,,
EA SPORTS FC Soccer Mobile 26,com.ea.gp.fifamobile,Gaming,fdabf452-d94f-41ec-8b88-69a5aa525d66,Mohd ali Khan,5,,good,0,27.0.03,2026-07-26T16:21:24,,
EA SPORTS FC Soccer Mobile 26,com.ea.gp.fifamobile,Gaming,7c0eead6-0a98-4dbe-96c3-a6eee87f2769,Parveen Kumar,5,,I like Ronaldo,0,27.0.03,2026-07-26T16:21:21,,
EA SPORTS FC Soccer Mobile 26,com.ea.gp.fifamobile,Gaming,b197703a-a2af-4eed-a1ff-bb5936e804d5,Jilliane Domingo,5,,good,0,27.0.03,2026-07-26T16:21:19,,
EA SPORTS FC Soccer Mobile 26,com.ea.gp.fifamobile,Gaming,073f8ac6-12f8-46d3-a0b7-73d6119d38a4,RAHIL BHATI,5,,ok,0,27.0.03,2026-07-26T16:20:46,,
EA SPORTS FC Soccer Mobile 26,com.ea.gp.fifamobile,Gaming,c9b867b0-a774-442a-b9d7-264725db2968,Prem Kumar,5,,supar,0,27.0.03,2026-07-26T16:20:20,,
EA SPORTS FC Soccer Mobile 26,com.ea.gp.fifamobile,Gaming,0e574a2c-fcdc-4094-a1b6-b62d138216d3,Makina Ina69,4,,"Nice,Game ni banyak buat saya hafal pemain pemain Lagenda yang ada didunia Dan mengatahui stastik player yang mana kuat Dan lemah,thanks Ea Sport",0,27.0.03,2026-07-26T16:14:18,,
EA SPORTS FC Soccer Mobile 26,com.ea.gp.fifamobile,Gaming,64b5abff-53ad-41f8-8d1c-e71bf86b8893,Mohammad Irfan,5,,Very good game,0,27.0.03,2026-07-26T16:14:07,,
EA SPORTS FC Soccer Mobile 26,com.ea.gp.fifamobile,Gaming,2820a647-7074-4e6d-8062-bfc2bb924628,Nasima Mousumi,5,,Amazing,0,,2026-07-26T16:13:52,,
EA SPORTS FC Soccer Mobile 26,com.ea.gp.fifamobile,Gaming,8155fea7-c935-4fb1-aa4f-ce67d9543ee9,Mukalo Haward,3,,good,0,27.0.03,2026-07-26T16:13:18,,
EA SPORTS FC Soccer Mobile 26,com.ea.gp.fifamobile,Gaming,b59b832e-0436-4bde-bfef-ee636f066a19,Rafiqul Naim,5,,"FC Mobile is one of the most exciting football games available on mobile devices today. Developed by EA Sports, the game allows millions of players around the world to experience the thrill of football anytime and anywhere. It combines realistic gameplay, stunning graphics, and a wide variety of game modes, making it a favourite among football fans of all ages. One of the best features of FC Mobile is its extensive collection of players and clubs. Players can build their dream teams by collect",0,27.0.03,2026-07-26T16:12:45,,
