app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
Grab - Taxi & Food Delivery,com.grabtaxi.passenger,Travel,bfeeb14d-0810-4a06-bc1f-380bc10ad0cd,Francis D Brooks Jr,5,,"Kuya is very likeable, great personality, respectful and professional, a very pleasant driver.",0,,2026-07-26T16:27:49,,
Grab - Taxi & Food Delivery,com.grabtaxi.passenger,Travel,ce31f67f-07e9-4b66-b96e-f50b9f53621e,Kevin Ooi,1,,"Grab car service is terrible, if a driver got an order that they are not keen to drive. They just stop their car or shut off their gps until you cancel. This bad practice is wasting our time, and this happens very often 😡 updated July 2026. Same issue , wasted my time 1 hour waiting 1 driver cancel after another.....",0,5.420.0,2026-07-26T16:25:29,,
Grab - Taxi & Food Delivery,com.grabtaxi.passenger,Travel,cebe447b-0348-4fb5-9978-94f9c5d5ee02,Marko Sandoval,1,,I should be able to reach a live agent easily on a live order! In fact theres is no way at all to reach a live agent. What the heck!!!,0,5.420.0,2026-07-26T16:21:19,,
Grab - Taxi & Food Delivery,com.grabtaxi.passenger,Travel,de73a4ba-6de4-4fd5-8e4c-8c1fc90867d9,Piyush Tadvi,5,,good luck with,0,5.420.0,2026-07-26T15:55:09,,
Grab - Taxi & Food Delivery,com.grabtaxi.passenger,Travel,ac479350-6fdb-4e90-8e47-b7a5fbef085a,Hiryani Mohd Sadli,5,,ok satisfied with the Grab driver.. sekejap jer dah sampai,0,5.420.0,2026-07-26T14:37:08,,
Grab - Taxi & Food Delivery,com.grabtaxi.passenger,Travel,a19957e6-222f-4245-98b2-8ba95a00e13b,Sanjana Nishad,5,,geb app,0,,2026-07-26T14:22:18,,
Grab - Taxi & Food Delivery,com.grabtaxi.passenger,Travel,36a5d68f-ac8f-451c-b5f1-75a4fc0bdfd9,Harsh deep kaur Bhatti,5,,good app,0,5.420.0,2026-07-26T14:20:28,,
Grab - Taxi & Food Delivery,com.grabtaxi.passenger,Travel,bae79190-b7dd-4e6a-86fd-9abbc0f39dd2,suraikahengkin31,5,,"Very convenient for rides and food delivery. Fast, reliable, and easy to use.",0,5.413.0,2026-07-26T14:16:46,,
Grab - Taxi & Food Delivery,com.grabtaxi.passenger,Travel,783c7676-f928-4ffe-b279-e640a22514e0,Md Omen,5,,bgus,0,5.417.0,2026-07-26T13:55:49,,
Grab - Taxi & Food Delivery,com.grabtaxi.passenger,Travel,ed35a5b8-a88a-4c3b-8892-cda79c18a35a,Angelyn Gemeno,5,,bilis lang Pala mag order wlang hassle,0,5.420.0,2026-07-26T13:53:11,,
