app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
Pinterest,com.pinterest,Social,beec4632-647f-43de-b13f-c9d5e0114291,Mohammed Aslam,4,,best aap i love pinterest 🩷 amazing ideas for diy painting all,0,14.28.0,2026-07-26T16:22:16,,
Pinterest,com.pinterest,Social,a5b88317-2585-4f12-93dd-633657148e4c,sarena aras,4,,"I love this app but it could really use a few tweaks first off, we really really need a story option where we see pins we like on our feed and put them on our story it will make the app really great, and fixing the messaging system right now recieving notifications are really slow, or i dont get a notification at all, if we can fix these problems the app will be amazing",0,14.28.0,2026-07-26T16:13:42,,
Pinterest,com.pinterest,Social,a42591ab-bef7-4a65-bbf1-4c11eb590021,GARVI RAGA,5,,very informative,0,,2026-07-26T16:13:35,,
Pinterest,com.pinterest,Social,62ce9612-4a4d-43b0-b64d-09aa6ca01766,Dhritirani Kurmi,5,,"These is the best thing I did , using my phone by creating pinterest account. literally bestest decision. Please never make this app ban or anything wrong please cause I felt peace here I found everything here , I can be anything here just by looking pinterest videos. i just love this app ... keep going",0,,2026-07-26T16:10:39,,
Pinterest,com.pinterest,Social,5e35e830-d02d-40ab-bf54-d5ce521123a8,Uizem Oyunbat,5,,good app,0,,2026-07-26T15:57:29,,
Pinterest,com.pinterest,Social,68eea199-2243-4568-81b1-051d83115952,Nawaf /صل على النبي,1,,اعلانات مخله وصخه,0,14.28.0,2026-07-26T15:52:32,,
Pinterest,com.pinterest,Social,15630b94-aa30-4e25-95b4-a2a27547d684,Azie Aziz,5,,it was great,0,14.28.0,2026-07-26T15:37:04,,
Pinterest,com.pinterest,Social,68f427d9-2206-401a-89d6-1e64d039f934,Bahar,5,,"This is a great app, I love it",0,14.27.0,2026-07-26T15:27:45,,
Pinterest,com.pinterest,Social,301b8b60-5976-4087-8c2b-e3b25fc40937,Nalini Mathi.thaniyasri,5,,❤❤❤❤❤,0,14.27.0,2026-07-26T15:27:04,,
Pinterest,com.pinterest,Social,eb937ee0-3759-4674-8127-965243532ef2,Sushil Lata,5,,It is good,0,14.28.0,2026-07-26T15:26:15,,
Pinterest,com.pinterest,Social,3ce428fc-8a90-41fb-86d0-6ec95ad0ce15,Gour Gopal Ghosh,5,,this app is amazing app my experince is V.V. Good,0,14.28.0,2026-07-26T15:20:03,,
Pinterest,com.pinterest,Social,9b5838a2-2436-4c34-bb71-0515e3a10d13,Khadizatul Kobra,1,,i couldn't install it,0,14.27.0,2026-07-26T15:00:39,,
Pinterest,com.pinterest,Social,fabb367b-ceb9-46fd-b51b-5f8d08ec0701,Suma,5,,very usefull🫶🏻,0,14.27.0,2026-07-26T14:42:44,,
Pinterest,com.pinterest,Social,6f91882b-4567-4946-8196-6e59cc39ee0b,alka Singer,5,,"it's give me fast work and best, better, beautiful and useful image I love it so much it gives me help in drawing and wallpaper I also suggest this app to my friend",0,11.43.0,2026-07-26T14:42:08,,
Pinterest,com.pinterest,Social,deb94fda-697a-4e19-99a2-948af93417e6,Lavanya Agarwal,5,,iiii lovveeeee pinteresttt soooo muchhhh,0,14.28.0,2026-07-26T14:33:23,,
Pinterest,com.pinterest,Social,fc6be122-4bb0-4ef6-b571-b90a84db44c8,Mdrocky Rocky,5,,I like this app so much~~~,0,,2026-07-26T14:33:01,,
Pinterest,com.pinterest,Social,3e831387-d247-4151-80e6-b77439f1c243,Anita Varma,5,,I like this app i think so this app better than other,0,14.27.0,2026-07-26T14:21:17,,
Pinterest,com.pinterest,Social,3148a4aa-dba2-4b1f-ba0a-4044dd0c4973,زهرا فرجی,5,,ایول,0,11.43.0,2026-07-26T14:19:25,,
Pinterest,com.pinterest,Social,4b1da724-871b-41d7-b6da-d7b46856399c,Arsalan Khan,5,,nice,0,14.28.0,2026-07-26T14:18:51,,
Pinterest,com.pinterest,Social,f186c54e-28f5-497d-9fea-6b8c4a4b2142,Sobana mohanadass,5,,noce app... very tasty ✌️,0,14.28.0,2026-07-26T14:12:14,,
Pinterest,com.pinterest,Social,a4a27b62-89e5-4f7f-a64b-810b28aee6f9,Rahul Sharma,5,,ok,0,,2026-07-26T14:09:58,,
Pinterest,com.pinterest,Social,80881daf-b0b9-41b2-ba92-64f9b87b5a01,Krutika,5,,great,0,,2026-07-26T14:09:13,,
Pinterest,com.pinterest,Social,43d2a289-3dac-42b4-98a8-b6e32f9feec7,Ramesh Chander,5,,"best app for drawing,art and sketch",0,,2026-07-26T14:07:08,,
Pinterest,com.pinterest,Social,66080640-de64-4c2c-9c9a-2a1d10f67515,Kasumi Fuyami,5,,it's good for drawing inspiration,0,,2026-07-26T14:05:07,,
Pinterest,com.pinterest,Social,8c0acd1f-1756-45f2-a133-77f0b3d60e9e,Amayra Kanade,5,,this is the best app I ever had 🦊🥰😍,0,14.28.0,2026-07-26T13:54:42,,
Pinterest,com.pinterest,Social,38e58d36-7761-4856-927e-43265f133024,priya kher,5,,"it's verry dreamy,,, csnt stop myself from looking at those wonderful pins, thanks to printrest",0,14.28.0,2026-07-26T13:50:11,,
Pinterest,com.pinterest,Social,3d9d8377-2a37-473b-9329-4ba551f493b1,Seema singh,5,,best thing in the world every asthetic things come in this just perfect,0,14.2.0,2026-07-26T13:34:52,,
Pinterest,com.pinterest,Social,3d506639-e092-481c-98af-96620648f402,Chahd Elkhou,5,,I love it it gives you the right thibgs you want and need while socializing with ppl,0,,2026-07-26T13:33:24,,
Pinterest,com.pinterest,Social,993ba3b5-bded-41e9-a2a8-848155d5abbd,Sharad Sonwane,5,,best,0,,2026-07-26T13:26:51,,
Pinterest,com.pinterest,Social,c410e42e-d0e4-4dd2-b677-0580ecc1bf5a,Martin S. Mendoza Sr.,5,,I basically find everything that you really need for my daily life and assume to have in use.,0,,2026-07-26T13:24:29,,
Pinterest,com.pinterest,Social,f70c32c7-ce71-4473-832d-3c59bf68de1e,Bhoomika Vasava,5,,nice,0,14.27.0,2026-07-26T13:20:39,,
Pinterest,com.pinterest,Social,8c145ed7-30fd-4551-bfea-4d0249c67a0b,Bam Bam,4,,this app contains soo many ads and ads are many then ideas😂,0,,2026-07-26T12:53:57,,
Pinterest,com.pinterest,Social,0e50ee3e-5593-48fa-a9fc-21f93ad18e74,Pavi Elangovan,5,,great for a anime lover,0,14.28.0,2026-07-26T12:43:04,,
Pinterest,com.pinterest,Social,de69e21d-4d29-47c8-a542-a258fea59ee8,Mohd Saleem,5,,very best from other aaps,0,14.26.0,2026-07-26T12:40:21,,
Pinterest,com.pinterest,Social,2b19da97-eda5-40c9-ba2e-1202240f497d,Glyzhen Dulay,1,,"tf is wrong with you?, I can't log in tf, i already put my birthdate and I already tried so many differents birthdate but it doesn't work tf",0,14.28.0,2026-07-26T12:30:08,,
Pinterest,com.pinterest,Social,256a9cc3-18c5-4362-8370-0fb9000b1250,Kailashi Meena,5,,very good,0,14.28.0,2026-07-26T12:30:01,,
Pinterest,com.pinterest,Social,cbc9c67b-ddbe-4a33-8581-c05589d638d1,Aradhya,5,,it is the best app and the only app you'll ever need it's a social media without so much of social tbh 10/10 highly recommended!!!!!,0,14.28.0,2026-07-26T12:24:59,,
Pinterest,com.pinterest,Social,6d8dab08-ada0-495c-b80b-23317894e958,Sehajfateh Singh,5,,It's a very nice app!,0,14.28.0,2026-07-26T12:21:47,,
Pinterest,com.pinterest,Social,537039db-def6-4449-bc8a-3311686d960b,Sajana cm,5,,It told me a lot and was very helpful and I liked it a lot,0,14.26.0,2026-07-26T12:17:26,,
Pinterest,com.pinterest,Social,089e2fce-c2ad-49c7-9414-99673887b950,Naeem Sandhu,5,,good,0,14.28.0,2026-07-26T11:57:21,,
Pinterest,com.pinterest,Social,46959e95-df21-4978-97b0-d681eb06b9b6,Malshan Gomez,5,,👍👍👍,0,14.28.0,2026-07-26T11:50:18,,
Pinterest,com.pinterest,Social,23ed5e21-46bd-4c9e-8996-9f21321d583d,Manoj Yadav,5,,"Pinterest is a peaceful digital sanctuary dedicated to creativity, discovery, and personal growth. Unlike traditional social media, it acts as a visual search engine where you can turn ideas—from home decor and recipes to fashion and DIY projects—into actionable vision boards. Free from social comparison, Pinterest provides a calm, uplifting space that inspires everyday imagination and turns creative dreams into reality.",0,14.27.0,2026-07-26T11:50:05,,
Pinterest,com.pinterest,Social,13bda780-7467-4e89-8ca7-8cf87e238b89,Fer Estera,5,,"I love this app, I have over 100 boards and followers. I use it everyday as its really helpful and creative. I love that I can find everything I need in there✨️",0,14.28.0,2026-07-26T11:27:03,,
Pinterest,com.pinterest,Social,bd12272d-7ce5-48b6-933c-41ae18413c4b,Pushpa L,5,,very good👍,0,14.28.0,2026-07-26T11:20:49,,
