app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,a7288154-5dc9-40e0-80e2-1ace21c138a1,April Furtick,5,,"I've found EMDR and I love it, I fall asleep fast and stay asleep, something I haven't been able to do in a VERY long time! THANK YOU",0,6.100.2,2026-07-26T13:25:42,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,efdaa718-2241-4c9d-8c68-2e4c992eb5e3,Vicki Contreras,1,,"Use Medito it's free!! Calm App was clumsy, would not save things in order so you would forget what session you started . It was free with my insurance now it wants me to pay 80.00 a year for it.. WAY OVER PRICED !! Try medito it's free!",2,6.91,2026-07-26T06:49:36,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,fe608127-a261-46c1-85f7-009805b65cb1,Saikosmiles!,5,,"it's perfect for sleeping! I love this! the music, stories, and sounds are really great! I totally recommend!",0,6.100.2,2026-07-25T15:22:51,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,45d2bd42-4f75-4b91-93df-bf2797c7e17f,Blaze Johnson,5,,love it. Found this year's ago and my family still use it almost every night. give it a try and I ask really try it for a week maybe. Wish you all peace and blessings.,0,6.100.1,2026-07-24T10:51:30,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,c122b160-85bc-4b02-aa12-aa3567e51433,Jennifer Perdue,5,,very relaxing and healthy,0,6.100.1,2026-07-24T09:20:04,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,53920fb4-e02f-420e-b3ff-f57841ccbcca,Tamitha Baird (Tammy's),2,,I never really calm me down I don't know what this one's for,0,,2026-07-24T07:06:43,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,e992332f-e436-442a-b055-2e12219ef73f,kim decelle,5,,Great app!,0,6.99.1,2026-07-23T21:35:48,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,ff61b694-ec55-42af-9a48-a9650543ecec,Michelle Burke,5,,I love the variety of meditations and soundscapes on Calm. It is easy to find Favorites that became a fixed part of my daily sleep and relaxation routines.,0,6.100.1,2026-07-23T19:40:40,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,e4c34b18-bfca-47e3-aead-80107516758c,Sharon Erkman,1,,"I have been unable to cancel this app. There os no way to cancel it when you are in the app. It says to go to Google play to cancel, but Google play says that I have no subscriptions.",0,,2026-07-23T05:47:31,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,f48b0724-6017-4953-87bb-bcaf8748ebb2,Anthony Gio,1,,"If I'm doing a meditation or anything longer than my phone's screen sleep timer, which is virtually every meditation. The voice and bg noise begins to glitch out and stutter every other word. Extremely annoying bug that makes me regret signing up for a year subscription.",0,6.100.1,2026-07-22T22:48:42,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,4a93856f-7594-4409-8f0d-df35cd64796b,Barbara Dominguez,5,,"I love Calm. I use mostly for their Sleep Stories. I have not had one fail me yet, some are so interesting that I want to hear the end before falling asleep..but then again, I'm glad that I don't.",0,6.100.1,2026-07-22T18:18:55,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,3b1d7a1a-e7b8-4b17-ad1b-a38c5d878a0b,Naj Pirate,5,,"Beautifully designed app offering relaxing sleep stories, guided meditations, and stress management tools.",0,6.100.1,2026-07-22T04:43:38,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,4f94f662-835b-42c7-b3bb-6deb2cb2aa8e,Lynn Hessley,5,,"I use Calm daily for Soundscapes for sleeping and Daily Takes with Jeff Warren. Calm has helped me. I feel sure it will help you, too. 🫂🧠💜🫂",0,6.100.1,2026-07-22T03:26:09,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,7be0a7ed-ee7b-4aef-b4ec-248aca3d98fb,Jon Lusty,2,,Still no support for Google's Health Connect framework. Switched to a competitor until Calm adds Health Connect integration.,3,6.90,2026-07-21T21:03:00,,
"Calm - Sleep, Meditate, Relax",com.calm.android,Health,9347a73f-bb55-42ab-8b70-94e4d0e221b7,Gina McDaniel,1,,Be careful. I canceled this subscription a year ago and they just took $79.00 out of my account,1,6.100.1,2026-07-21T17:13:53,,
