app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
Google Health (Fitbit),com.fitbit.FitbitMobile,Health,fb598630-79e8-4182-8ec1-4513cee126b5,mary Walker,3,,"Pros: Fresh new look. AI summary. I can input data like hydration and weight more easily. Cons: AI conversation isn't directly tied to the data. It will summarize my workout and include my max HR one day. But when I ask for my Max HR the next day, it can't. I will lay out every exercise I did for a WO into their AI, and every time it changes the exercise and the weight I lifted. it correctly tracks it the 2nd time I copy and paste the exact same thing. Infuriating.",0,5.04.1.health-mobile-1104086539-951461572,2026-07-26T16:10:28,,
Google Health (Fitbit),com.fitbit.FitbitMobile,Health,990073e7-9b20-4992-bd7c-2a6e5b7e5b73,James Cooke,1,,When it's good it's good. But unfortunately it's not good for long. It consistently ignores logged activities and blames the fitbit when you can see the activity logged in this app. And the AI gaslights you. My heart is in worse shape for all of the stress using the app has caused. I cannot recommend this product.,0,5.04.1.health-mobile-1104086539-951461572,2026-07-26T15:55:51,"Hi, James. Sorry to hear about the trouble. For further assistance, please contact us at: https://support.google.com/googlehealth/gethelp",2026-07-26T16:59:54
Google Health (Fitbit),com.fitbit.FitbitMobile,Health,0df5a57f-60bb-48be-88f9-8398bffa5e62,Kris,1,,"Worse and worse ever since it became Google Health. I haven't used my smartwatch in ages and picked it up again a couple months ago. The app doesn't show the bare minimum basic information anymore like where tf is BMI? The food tracker doesn't reliably save custom food after awhile and I keep having to manually re-enter info. Challenges, social groups, and badges from the Fitbit days are gone too.",0,5.04.1.health-mobile-1104086539-951461572,2026-07-26T15:53:44,,
Google Health (Fitbit),com.fitbit.FitbitMobile,Health,f51f83f3-ec48-44c7-a6b7-21ea5634d11b,L S,1,,"July 2026 what has happened to the food tracking? since Google took over it's rubbish, fitbit food tracking was really accurate......cone in Google get your act together",0,5.04.1.health-mobile-1104086539-951461572,2026-07-26T15:43:32,,
Google Health (Fitbit),com.fitbit.FitbitMobile,Health,a917da4f-ee76-44ba-a305-4456b65f7e3e,DNVN,4,,can't find generic food items anymore.,0,5.04.1.health-mobile-1104086539-951461572,2026-07-26T15:20:04,,
Google Health (Fitbit),com.fitbit.FitbitMobile,Health,79051e91-d421-4687-a6e8-2c23d9658460,Rich Whitaker,1,,"The old Fitbit app was fine - did the job, was reasonably easy to use, and I resisted changing over until I absolutely had to. This is a piece of junk - the sleep tracking is *wildly* inaccurate, and has no obvious way to correct it. I strongly advise not bothering cluttering up your device with this festering pile of refuse.",0,,2026-07-26T15:08:24,"Hi, Rich. Sorry to hear this. We appreciate your feedback with the Google Health app. To track sleep with Google Health, see: https://support.google.com/googlehealth/answer/14236407
For more help, contact us at https://support.google.com/googlehealth/gethelp",2026-07-26T15:26:34
Google Health (Fitbit),com.fitbit.FitbitMobile,Health,3b47ab34-ddba-45d9-81fd-dd28271c2498,SpongeRobSquareHead,1,,Reducing to 1 star because the resilience metric is still broken and has been since the app was launched - it should have been fixed by now. In fact updates generally have been very slow in coming which isn't great with how unfinished the app feels.,1,5.04.1.health-mobile-1104086539-951461572,2026-07-26T14:07:13,"Hi, there. Sorry to hear this. To know more about how Fitbit devices tracks calories burned, please visit this page: https://support.google.com/googlehealth/answer/14237111

For more help, contact us at: https://support.google.com/googlehealth/gethelp",2026-06-06T01:26:42
Google Health (Fitbit),com.fitbit.FitbitMobile,Health,35c59ffc-2357-44ff-94cc-6ee22721c632,jeremiah demesa,1,,having a hard time changing the time,0,5.04.1.health-mobile-1104086539-951461572,2026-07-26T12:54:06,"Hi, Jeremiah. Sorry to hear this. To change the time on you Fitbit device, see https://support.google.com/googlehealth/answer/14237929
If you need more help, please contact us here: https://support.google.com/googlehealth/gethelp",2026-07-26T13:27:24
Google Health (Fitbit),com.fitbit.FitbitMobile,Health,a4d4fe7d-fc29-4a57-88a0-b14e695e19a3,Emma Coles,2,,"Since google health took over the fitbit app, I get unwanted sleep updates (which are always bad by the way, my sleep score with fitbit was always good, now it says its fair nearly every time!) I've turned off sleep insight notifications but it still sends me them and also sends me 3 low battery notifications one after the other within 2 seconds. Seems there are some glitches with this app?",0,5.04.1.health-mobile-1104086539-951461572,2026-07-26T12:48:46,"Hi, Emma. Sorry to hear this. To choose which alerts Google Health sends you, please review this guide: https://support.google.com/googlehealth/answer/14226290

Then, we suggest that you force quit the app, reboot your phone, relaunch the app, and monitor it.

For further help, please contact us at: https://support.google.com/googlehealth/gethelp",2026-07-26T13:29:02
Google Health (Fitbit),com.fitbit.FitbitMobile,Health,672aa9bf-abca-46bd-8d57-983baa8b16b6,Zaid Khan,5,,"You see, I love the change from Fitbit into Google Health... it's good at tracking your health and physical activity. While also being aesthetically pleasing. good Job",0,5.04.1.health-mobile-1104086539-951461572,2026-07-26T12:35:26,,
