app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,c13c58ed-cdb3-4329-b0c6-f71e4dda56ce,Billy Sparks,1,,cant even get my documents I sent to this thing by Bluetooth Google is useless,0,1.21.202.04.30,2026-07-26T16:18:10,Hi Billy. We'd like our users to have the best possible experience with the Google Docs app. We'll share your feedback with our product team. Thanks!,2026-07-26T22:07:10
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,64f1b406-af9d-494b-af82-c82da145bfbc,Sukla Das,5,,"well, this is a great app. Not only the necessary information but also all kinds of writing tasks can be done here. This is really a very good app.",0,1.26.261.04.90,2026-07-26T16:05:16,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,7aaf2056-1aed-4ba1-82b9-1cffe2b6df5d,Master coder,3,,good,0,1.26.281.01.90,2026-07-26T15:56:27,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,47e27470-a46a-4245-910c-ec70fff74e6d,Raja Mubbashar,5,,good,0,1.26.291.00.90,2026-07-26T15:45:38,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,e9878c1e-2afb-4593-8155-09812da8d90e,Moses David Abah,5,,Great app.,0,1.26.281.01.90,2026-07-26T15:44:47,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,0ffbf1ce-4f0f-494b-a513-ec84e66c9ab3,SUMIT MEDA,5,,good,0,1.26.281.01.90,2026-07-26T15:24:10,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,02e7af75-7466-4979-90e3-0846a3a484ca,Lochlan Braiden,5,,nakakatulong sya sa pag aaral ng mga students,0,1.26.281.01.90,2026-07-26T15:15:46,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,9246ca6a-d384-4c00-8e6c-61e5f8ca13f7,Dhimmar Rakesh,5,,nice,0,1.26.271.03.90,2026-07-26T15:08:55,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,450cad94-4acd-435a-9788-dc5da36836a1,ABBAKAR ALIYU BUGYA,5,,excellent 👌,0,1.25.341.00.90,2026-07-26T14:54:52,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,5119f6a8-1ae4-4a61-94c7-3f7b1190a48d,Randi Jackson,5,,Best document app,0,1.26.281.01.90,2026-07-26T14:15:17,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,832dc52a-08ed-4aa2-8761-525ecdc08b7a,Sangita Murmu,5,,😍😍,0,1.26.251.02.90,2026-07-26T14:02:20,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,2b332a4c-6f12-4913-b0f1-f1c8f5c689af,Stephen Koya,5,,I can work from anywhere!,0,1.26.191.01.90,2026-07-26T13:49:55,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,c2a14527-bfce-4238-b618-23a34769c3d7,TechaitShow Show,5,,It is best,1,1.26.291.00.90,2026-07-26T13:34:50,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,97c5ca03-b894-4690-aad7-39a1f4656376,Saldan Xalxo,5,,बेहतरीन है यार गूगल मेरी जान ही है,0,1.26.131.00.90,2026-07-26T13:02:02,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,f3aec4e0-7268-4208-bf43-d0cf13adfbdd,Sawan Kumar,5,,good 😊,0,1.26.291.00.90,2026-07-26T12:53:37,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,95f479a3-de1c-4882-b67c-84b14c2618a5,Sudhanshu Verma,5,,best app for documents creation editing etc,0,1.26.091.03.90,2026-07-26T12:37:37,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,b3a112ff-54e3-440d-b708-1c26027e2bbf,Nitish Kumar,4,,"one mistake page margine , layout options not in phone ,",0,1.26.271.03.90,2026-07-26T12:19:49,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,6270b53a-0b72-4573-ad55-d498995a12d9,Fake Id,5,,please export problem fix all time an error occured while export to pdf,0,,2026-07-26T12:10:27,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,059870c2-16e5-450b-880d-1940532efb8e,AlexTolu Ayaoge,5,,I just think Google docs is a really good docx editor. It's nice.,0,1.26.271.03.90,2026-07-26T12:04:57,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,e0c4495d-c8ab-4d74-9de9-6930796d5e13,Gulam Dastagir Kalia,5,,very good service,0,1.26.281.01.90,2026-07-26T11:56:42,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,a019b1a1-c0f2-433c-baf1-f448a7bdbe2b,Aamir zaffar,4,,Good Application,0,1.26.291.00.90,2026-07-26T11:38:23,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,68c922a4-404b-409a-86bf-771bb7bed47d,deepak gaikwad,5,,Good application,0,1.26.191.01.90,2026-07-26T11:30:38,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,f5c35f1b-13ff-4c93-aca1-e6891ac386f1,Jon,2,,"Search function doesn't work properly. Everytime i scroll through a lengthy doc, it's so easy to accidentally touch the scroll bar on the right and it'll suddenly bring me to another part of the doc. Has happened countless times by accident. Make it less sensitive or smaller!",3,1.26.291.00.90,2026-07-26T11:21:29,Hi Jon. Thanks for sharing your valuable feedback. We'll pass this along to our team. Appreciate it!,2026-06-13T16:00:24
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,67d5b39f-5c3a-4271-9f0b-51f25a9dc845,Lenka Dayrit,5,,best way to create docs,0,1.26.291.00.90,2026-07-26T11:00:12,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,45aaeeb5-8ed3-4a2b-967f-f9243289e4e9,JENNY,5,,Amazing I love it 😃,0,1.26.271.03.90,2026-07-26T10:48:16,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,1dddf43f-37c0-4819-9002-c679c001fc29,Prashant Kumar Mohanty,4,,good,0,1.26.281.01.90,2026-07-26T10:27:27,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,c968d4b0-edf2-4d5a-9c93-4180215a615d,AMINU UMAR SIDI,5,,I really appreciate it,0,1.26.161.04.90,2026-07-26T10:25:57,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,2ce7da6e-c164-43c2-8448-6e8f2f4c0e52,MD AL-AMIN SIKDAR,5,,excellent,0,1.26.291.00.90,2026-07-26T10:22:43,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,411cbf2b-1cf9-4fe0-92b8-fb35b5d494e3,Garnet Blazio,4,,It's nice I have ever come across,0,1.26.271.03.90,2026-07-26T10:08:49,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,11254ee9-3183-46fe-92a9-ec07673b8b64,Hardik Purohit,5,,Excellent,0,1.26.281.01.90,2026-07-26T09:55:33,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,dbef1467-ad16-4fb8-b81f-7e9ba9f045dc,Sharan Kumar S,4,,good,0,1.26.291.00.90,2026-07-26T09:39:23,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,cba9a7c5-52ed-4632-b20b-104a2aa26b36,Anthony Fobbs,5,,Thank you.,0,1.26.291.00.90,2026-07-26T09:03:02,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,032d802d-34cd-48d5-82f7-08b9247e77bf,Rameja Kittur,5,,super,0,1.26.271.03.90,2026-07-26T08:56:17,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,fbad5b39-07da-4c3a-abdc-cb98aed9e087,Fathul Rih,5,,"Google Docs is a cloud-based word processor built around real-time collaboration and automatic cloud saving. It allows multiple users to edit the same document simultaneously while providing version history, voice typing, inline comments, and flexible export options. Its effortless collaboration features make it an outstanding choice for students, remote teams, and collaborative projects, while automatic saving eliminates the risk of losing unsaved work.",0,,2026-07-26T08:40:53,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,93e005b2-3923-4026-ad76-60ea27735902,Agbor Edmarker,5,,"best overall text, word, document editor.",0,1.26.291.00.90,2026-07-26T08:39:29,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,9514d31a-96b5-409f-96c1-7af9e1241e48,Vaishali Challirwar,5,,very nice,0,1.26.281.01.90,2026-07-26T08:32:08,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,69de9b2f-bafc-49ce-ba1c-727cbd8873b9,Aparna Konda,5,,thankyou for this such nice app ❤️ I just loved it,0,1.26.281.01.90,2026-07-26T07:19:48,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,8a7cd219-b891-4af7-9a5a-8f5424feda05,syed Vaseem,5,,good,0,1.26.291.00.90,2026-07-26T07:13:54,,
Google Docs,com.google.android.apps.docs.editors.docs,Productivity,4721944b-e6ac-465a-959b-7eecda6d3166,mohanned ahmedhassan,5,,كويس,0,1.26.281.01.90,2026-07-26T07:09:59,,
