app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
Google Fit: Activity Tracking,com.google.android.apps.fitness,Health,13afee4b-f199-41f7-b2dc-47f2cd7fa772,THE ONE SQUARE YARD PROPERTIES,3,,in Android phones showing steps immediately but in iphone 17 showing less steps and updating total distance wrongly and lately. plz rectify the issue,0,2026.07.02.01.arm64-v8a.release,2026-07-26T15:07:53,,
Google Fit: Activity Tracking,com.google.android.apps.fitness,Health,39551042-79a9-4157-8618-500ba5e176e4,Ankur Arora,1,,"Used to be good. Now randomly tells me that it will delete speed data recorded during exercise sessions. Apparently to ""improve [my] experience"".",0,2026.06.04.00.arm64-v8a.release,2026-07-26T12:32:11,,
Google Fit: Activity Tracking,com.google.android.apps.fitness,Health,2bdc2d7b-f2ed-4c64-ba60-37a0f36fe190,Carlos US,3,,"I like it... but why does my phone constantly warn me of its ""high battery background usage"", and recommend I put it into deep sleep? Surely it will not be of optimal use if I do?",0,2026.07.02.01.arm64-v8a.release,2026-07-26T12:30:41,,
Google Fit: Activity Tracking,com.google.android.apps.fitness,Health,bed09b58-00de-4eb8-95dd-923c9c0ea0a3,Rushi Satam,5,,Good app,0,2026.07.02.01.arm64-v8a.release,2026-07-26T11:58:21,,
Google Fit: Activity Tracking,com.google.android.apps.fitness,Health,cb9fb6ec-9010-4c19-9392-4f070e83fd21,윌러비안나,1,,hardly ever syncs my hevy workouts. useless tbh,0,,2026-07-26T08:29:52,,
Google Fit: Activity Tracking,com.google.android.apps.fitness,Health,d57f5417-25c2-4e49-b7ad-fb9569e9b08a,DAN WILLS,1,,too much AI. not recommended for elderly,0,2026.07.02.01.arm64-v8a.release,2026-07-26T07:35:57,,
Google Fit: Activity Tracking,com.google.android.apps.fitness,Health,a617fe37-618f-4d91-a01d-26831effe788,Mlalamin,5,,good,0,2026.07.02.01.arm64-v8a.release,2026-07-26T00:09:56,,
Google Fit: Activity Tracking,com.google.android.apps.fitness,Health,4c32a2fe-931d-478a-b67d-46a716ebfbcf,Keith Groves,1,,"When data collection is the priority! you get an unintuitive user interface and a quest line collecting clues from Google searches that are all over the map with unhelpful, not useful, no direction, Outdated content or customers complaining about the app. Days later you will go shopping for a new device because you realize Google bought the trackers for tracking and data collection not your health!",0,2026.07.02.01.arm64-v8a.release,2026-07-25T22:38:40,,
Google Fit: Activity Tracking,com.google.android.apps.fitness,Health,37ef8d96-0002-4ddf-8c3a-d7bda285b79f,Vicki Wingert,2,,the Fitbit app you could add your meals to. this one you can't. lame.,0,2026.07.02.01.arm64-v8a.release,2026-07-25T19:03:29,,
Google Fit: Activity Tracking,com.google.android.apps.fitness,Health,cd109795-b5eb-46dc-ba39-39efc9c563a7,Sachin Jadhav,5,,good,0,,2026-07-25T10:58:35,,
