app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user,Finance,81ef9a1b-08af-41ad-9437-ce016932cdb8,Tanmoy Mukherjee,1,,this apps cannot verify your number currect li,0,341.1.1 (arm64-v8a_release_flutter),2026-07-26T16:14:59,"Regret the inconvenience, Mukherjee. We suggest you contact our specialist team for assistance on this: https://goo.gle/2PQQFuc. Our team would be happy to help.",2026-07-26T16:38:53
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user,Finance,8c671ec3-3adb-42b9-bf27-395da5b5e092,ASHOK KUMAR SWAIN,5,,All over good aap,0,341.1.1 (arm64-v8a_release_flutter),2026-07-26T16:14:23,,
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user,Finance,4206bd18-2969-4635-8f1f-d9ec96866ede,Shruutie Ramteke,5,,good,0,339.1.1 (arm64-v8a_release_flutter),2026-07-26T15:31:37,,
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user,Finance,1376a1a9-4638-417d-8082-a6590bc1a715,Kumar Kuna,5,,Nice,0,,2026-07-26T15:10:12,,
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user,Finance,b9236eaa-905c-4f14-b6b9-b82690b2eb59,Abraham DIKA,5,,wonderful App,0,177.1.5 (armeabi-v7a_release_flutter),2026-07-26T14:56:32,,
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user,Finance,1cc38179-04c3-4f59-b5a4-1d5efb73f710,Kishan kashyap,5,,gud app,0,341.1.1 (arm64-v8a_release_flutter),2026-07-26T14:47:49,,
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user,Finance,daffd354-feb3-4cf2-b0cd-e020b237cf38,Dilip Kumar,5,,naice,0,341.1.1 (arm64-v8a_release_flutter),2026-07-26T14:31:50,,
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user,Finance,0f9b8aa3-a6fc-4323-932d-972957c1897b,Abdu Salam,3,,scanner not working,0,331.1.2 (arm64-v8a_release_flutter),2026-07-26T14:27:26,"Regret the inconvenience, Abdu. Please ensure that you're using the latest version of the app with a stable internet connection. For more info, check out our Help Center: https://goo.gle/3aQkQu3. For further assistance you can reach out to our support team: https://goo.gle/2PQQFuc.",2026-07-26T14:40:08
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user,Finance,11f1ec54-6ffb-4eff-9bf9-4b16ddbeb876,Harminder Singh Sidhu,5,,"Super, FANTASTIC 👌",0,341.1.1 (arm64-v8a_release_flutter),2026-07-26T13:55:15,,
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user,Finance,a7ca9a64-49f4-49af-b1df-dfaf3c0ef8f9,Bhirrr B2,5,,NOT OPEN MY GOOGLE PAY please reply,0,341.1.1 (armeabi-v7a_release_flutter),2026-07-26T13:50:55,,
