app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,Finance,baae4447-bdde-43bf-a587-bc2591086397,Ian,1,,one complet desperate from start to finish I was a custerma and now you want let me in my account anďnow iv find iv lost hundreds of pounds because my Gmail is not ŕeçonißid,0,,2026-07-26T16:14:11,,
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,Finance,9507e6ac-7e16-40c4-96f2-61a6db370ff3,Wulph Gaar,1,,"the sign up process is unusable on mobile, due to the pop-up calendar for entering DOB preventing you from typing the date. Nobody is going to scroll back 100s of months.",0,8.107.0,2026-07-26T16:10:05,,
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,Finance,0ad7cc57-b72f-4937-85e8-1c9e04cc6837,Phil Walker,4,,"overall pretty good, however the auto-reload for PayPal card still doesn't work even though it looks like it's been revamped. clicking the authorise button does nothing.",0,10.5.0,2026-07-26T16:00:17,,
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,Finance,78da1738-952b-4bf8-8b1d-85eb81607700,Sheety Beef,1,,cant screenshot,0,8.107.0,2026-07-26T15:56:39,,
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,Finance,e561438f-b7ed-4753-ad8c-cca9632e2ebc,Nikki Labrador,5,,"Really secure app! Transactions are really fast too, I never worry about payment delays thanks to that. It's also regulated by BSP so I know my money is really safe.",0,,2026-07-26T15:27:45,,
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,Finance,41850b99-f2aa-4e9c-89c4-c5af34e68e66,Kevin Butcher,1,,I like the older version,0,8.107.0,2026-07-26T15:06:42,,
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,Finance,c92026f9-cbc6-4328-b646-101aff47364f,suraikahengkin31,5,,"""Secure and convenient for online payments. Fast and easy to use. """,0,8.105.1,2026-07-26T14:24:54,,
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,Finance,577d8973-56bd-4263-ab27-d08559c25f44,Enriques Romela,5,,good,0,,2026-07-26T14:04:52,,
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,Finance,64c628d7-9443-435b-9a2b-69dea80a88a1,Austin Adamson,1,,"can't get in, send new code function doesn't work",0,8.107.0,2026-07-26T12:56:06,,
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,Finance,c8be8524-c1ff-4e41-839e-fd9737ac53d2,Sanjib Dinda,1,,faltu,0,,2026-07-26T12:52:09,,
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,Finance,e905e236-124a-44c7-af21-aa2297bc8889,Hockeymom #67,1,,ive been hacked 3x. every time I use this app I get hacked by some store I pay.,0,8.107.0,2026-07-26T12:31:44,,
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,Finance,14ad3758-4df4-48f6-bd17-05c66746c99a,E Thomas,5,,PayPal is very user-friendly and I've never experienced any problems sending or receiving money using it.,0,8.107.0,2026-07-26T11:47:25,,
