app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
Shopee 8.8 Merdeka Sale,com.shopee.my,Shopping,77b3effb-d10b-4ab4-af40-59ecdb8c6772,Oppo Remy,5,,good,0,3.78.28,2026-07-26T16:15:47,"Thank you for rating us Oppo Remy !
If you need assistance in the future, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat or Internet Call.",2026-07-26T18:12:14
Shopee 8.8 Merdeka Sale,com.shopee.my,Shopping,acede944-49ce-4294-a1c3-3041ed68e03b,Agnes ZC,1,,no real human assistants can help you when problems occured,0,3.78.28,2026-07-26T16:01:20,"We're sorry to hear about this review, Agnes ZC. 😢 We would like to understand more about the issues you've encountered. Could you please provide additional details or contact our support team? You can access via your Shopee App through Me > Help Centre and choose between Chat or Free Internet Call.",2026-07-26T18:11:06
Shopee 8.8 Merdeka Sale,com.shopee.my,Shopping,bfed694a-54c0-46ff-98ac-a9a625a33fc9,Anita Farzana,5,,skrg shopee teruk akaun lama tak bole masuk Lepas Tu balance tak bole Mbil sebab pasport tamat tempoh tolong pihak shoppe buat jalan lain untuk urusan balance pindah uang ke bank teruk teruk teruk,1,3.78.28,2026-07-26T15:31:58,"Kami kesal mendengar ulasan ini, Anita Farzana. 😢 Kami ingin menyelesaikan masalah ini dan membantu anda dengan selanjutnya.
Sila hubungi kami dan berikan kami informasi lanjut supaya kami boleh membantu anda melalui Aplikasi Shopee dan klik ""Saya"" > ""Pusat Bantuan"" dan pilih antara Chat ataupun Panggilan Internet.",2025-07-24T23:34:41
Shopee 8.8 Merdeka Sale,com.shopee.my,Shopping,4d7186f4-04a3-42bd-a8f5-c60936bde8b6,pascaLLL_,1,,"misleading, intrusive and annoying popup advertisment in another app",0,3.78.28,2026-07-26T15:23:08,"We're sorry to hear about this review, pascaLLL_. 😢 We would like to understand more about the issues you've encountered. Could you please provide additional details or contact our support team? You can access via your Shopee App through Me > Help Centre and choose between Chat or Free Internet Call.",2026-07-26T16:26:57
Shopee 8.8 Merdeka Sale,com.shopee.my,Shopping,e1322ff4-f07f-469d-a69a-480c49f47ea7,Adrian shah,3,,boleh la,0,,2026-07-26T14:40:43,"Terima kasih atas rating ini, Adrian shah !
Jika anda mempunyai sebarang cadangan atau pandangan, sila hubungi kami melalui Aplikasi Shopee dan klik ""Saya"" > ""Pusat Bantuan"" dan pilih antara Chat atau Panggilan Internet Percuma.",2026-07-26T16:29:59
Shopee 8.8 Merdeka Sale,com.shopee.my,Shopping,228b9ad9-6156-4682-bfec-fe44c2f6b38d,Protap Mondal,5,,very very nice app shopee,0,3.78.28,2026-07-26T14:38:03,"Thank you for rating us Protap Mondal !
If you need assistance in the future, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat or Internet Call.",2026-07-26T16:29:42
Shopee 8.8 Merdeka Sale,com.shopee.my,Shopping,81a2a2f6-549c-4648-ba62-0c1a84ee0287,Ammar Danish,5,,senang beli,0,3.78.28,2026-07-26T14:31:38,"Terima kasih atas rating ini, Ammar Danish !
Jika anda mempunyai sebarang cadangan atau pandangan, sila hubungi kami melalui Aplikasi Shopee dan klik ""Saya"" > ""Pusat Bantuan"" dan pilih antara Chat atau Panggilan Internet Percuma.",2026-07-26T16:29:21
Shopee 8.8 Merdeka Sale,com.shopee.my,Shopping,fbe3862c-d0f3-4ba4-9ceb-0b7d87feb2ce,suraikahengkin31,5,,"Easy to shop, great deals, and a user-friendly app. Highly recommended!",0,3.75.24,2026-07-26T14:14:46,"We're happy to hear that you're enjoying Shopee, suraikahengkin31! If you have any suggestions or if there's anything specific you love about the app, feel free to let us know. If you need assistance, feel free to contact us via your Shopee App through Me > Help Centre and choose between Chat or Free Internet Call.",2026-07-26T14:55:48
Shopee 8.8 Merdeka Sale,com.shopee.my,Shopping,31bdd1d8-3813-45cd-bbfc-c047b634e739,Nur Kasi00,5,,Bagus😍,0,3.77.25,2026-07-26T12:53:48,"Terima kasih atas rating ini, Nur Kasi00 !
Jika anda mempunyai sebarang cadangan atau pandangan, sila hubungi kami melalui Aplikasi Shopee dan klik ""Saya"" > ""Pusat Bantuan"" dan pilih antara Chat atau Panggilan Internet Percuma.",2026-07-26T13:44:22
Shopee 8.8 Merdeka Sale,com.shopee.my,Shopping,790432ab-89db-4e74-a464-c00426db5e67,Haikal Zul,1,,"Shopee, please reduce the number of ads. I'm trying to edit something, and suddenly an ad pops up even though I didn't tap anything. I don't even want to buy anything. Please don't make the ads so long. It's tiring having to wait for them to finish. Please, Shopee.",0,3.78.28,2026-07-26T12:47:06,"We're sorry to hear about this review, Haikal Zul. 😢 We would like to understand more about the issues you've encountered. Could you please provide additional details or contact our support team? You can access via your Shopee App through Me > Help Centre and choose between Chat or Free Internet Call.",2026-07-26T13:44:04
