app_name,app_id,category,review_id,username,rating,title,text,thumbs_up_count,review_created_version,at,reply_content,reply_at
"TikTok - Videos, Shop & LIVE",com.zhiliaoapp.musically,Entertainment,333d8f55-02a6-4865-be0a-c67cec00c003,Aghama Solomon,5,,l believe it with all my heart,0,,2026-07-26T16:22:04,Hi! Thanks for taking the time to share your feedback. Your support is greatly appreciated.,2026-07-26T16:50:09
"TikTok - Videos, Shop & LIVE",com.zhiliaoapp.musically,Entertainment,73079f41-4cbf-4daf-8125-e7a281732ae4,Md Julkar Naim,3,,good,0,46.2.3,2026-07-26T16:20:35,"Hi, thanks for your feedback!
We'll be sure to share your suggestion with our team for consideration. We appreciate your input, and we're always working to improve the TikTok experience!",2026-07-26T16:50:08
"TikTok - Videos, Shop & LIVE",com.zhiliaoapp.musically,Entertainment,abbb91d6-9205-4a17-89d8-8d2b78b0b72f,Sanowar Hasan,5,,mubarak,0,46.1.3,2026-07-26T16:19:14,مرحبًا! نشكرك على تخصيص جزء من وقتك لمشاركة ملاحظاتك. نقدّر لك حقًا دعمك.,2026-07-26T16:30:07
"TikTok - Videos, Shop & LIVE",com.zhiliaoapp.musically,Entertainment,82a634e8-5a69-4b90-aa5b-08d857195d87,Princess Chinemerem,1,,it's a good app,0,,2026-07-26T16:16:45,,
"TikTok - Videos, Shop & LIVE",com.zhiliaoapp.musically,Entertainment,68fb38dc-6a48-4bf4-8a26-75c5d7a6dfa2,Deon Roux,5,,Excellent,0,46.2.3,2026-07-26T16:13:06,Hi! Thanks for taking the time to share your feedback. Your support is greatly appreciated.,2026-07-26T16:30:10
"TikTok - Videos, Shop & LIVE",com.zhiliaoapp.musically,Entertainment,b55730a1-c68b-4781-81c1-24bd070f9d1e,Habib wordag,4,,every thing is fine and tiktok is my interesing app but one what i really hate that when one video of seriel or drama begins then automatically when i scroll the next video will be like that. i hate drama and tv seriels. just i would give 5 stars if this will change,0,,2026-07-26T16:12:23,"Hi, thanks for your feedback!
We'll be sure to share your suggestion with our team for consideration. We appreciate your input, and we're always working to improve the TikTok experience!",2026-07-26T16:30:07
"TikTok - Videos, Shop & LIVE",com.zhiliaoapp.musically,Entertainment,3b6032b4-1523-4803-8f47-d5a8e6ce5071,Ejikel Ogbonna,5,,so nice and good,1,46.1.3,2026-07-26T16:11:09,Hi! Thanks for taking the time to share your feedback. Your support is greatly appreciated.,2026-07-26T16:30:07
"TikTok - Videos, Shop & LIVE",com.zhiliaoapp.musically,Entertainment,2a77a03a-c53c-4049-9698-5632ef87ee7d,Shahwaiz Jammu,5,,This app is so good for watching videos,0,45.0.3,2026-07-26T16:08:40,Hi! Thanks for taking the time to share your feedback. Your support is greatly appreciated.,2026-07-26T16:30:07
"TikTok - Videos, Shop & LIVE",com.zhiliaoapp.musically,Entertainment,406116d3-196b-46dc-a428-4974745b8c6b,ریحانه هنرهوده,5,,good,0,,2026-07-26T16:07:22,Hi! Thanks for taking the time to share your feedback. Your support is greatly appreciated.,2026-07-26T16:30:07
"TikTok - Videos, Shop & LIVE",com.zhiliaoapp.musically,Entertainment,9b24520a-2aa5-4ece-a411-73f81c0fdc3f,Rai Milan,5,,"tiktok is great platform because it give many suggestions example technic,advice, learning, doing,making, entertainment experience extreme",0,46.2.3,2026-07-26T16:06:32,Hi! Thanks for taking the time to share your feedback. Your support is greatly appreciated.,2026-07-26T16:30:07
